id_empresa,nombre_empresa,tamano_empresa,telefono_empresa,web_corporativa,ranklng,cod_sector
11,TechSol Ltd. 11,137,972028325,techsol11.com,7,5
12,SaludPlus S.A. 12,63,976091516,saludplus12.pe,5,9
13,EducaGlobal 13,215,947305282,educaglobal13.edu,2,3
14,FinanCorp 14,132,927774534,financorp14.com,9,8
15,ManuFacto 15,295,933319547,manufacto15.org,5,10
16,RetailMart 16,231,941898592,retailmart16.pe,6,3
17,EnergiaVerde 17,168,968783769,enverde17.com,1,4
18,TransLogistics 18,207,937678460,translog18.pe,9,1
19,Constructiva 19,97,957460113,constructiva19.com,6,6
20,AgroInnovacion 20,146,990713526,agroinnov20.pe,9,7
21,TechSol Ltd. 21,140,962594704,techsol21.com,10,5
22,SaludPlus S.A. 22,89,928086166,saludplus22.pe,5,7
23,EducaGlobal 23,199,970450037,educaglobal23.edu,10,10
24,FinanCorp 24,103,938203882,financorp24.com,2,9
25,ManuFacto 25,285,917617563,manufacto25.org,1,6
26,RetailMart 26,269,962837836,retailmart26.pe,1,5
27,EnergiaVerde 27,176,929688933,enverde27.com,8,3
28,TransLogistics 28,212,999736581,translog28.pe,3,3
29,Constructiva 29,70,965365485,constructiva29.com,6,9
30,AgroInnovacion 30,147,987061451,agroinnov30.pe,9,1
31,TechSol Ltd. 31,165,999664282,techsol31.com,8,8
32,SaludPlus S.A. 32,88,953623915,saludplus32.pe,10,8
33,EducaGlobal 33,210,960639641,educaglobal33.edu,5,9
34,FinanCorp 34,112,921227556,financorp34.com,10,1
35,ManuFacto 35,289,985358952,manufacto35.org,2,1
36,RetailMart 36,266,973907260,retailmart36.pe,9,1
37,EnergiaVerde 37,164,924082994,enverde37.com,2,8
38,TransLogistics 38,221,984304932,translog38.pe,5,5
39,Constructiva 39,76,989078657,constructiva39.com,1,10
40,AgroInnovacion 40,134,998625178,agroinnov40.pe,4,2
41,TechSol Ltd. 41,152,943037164,techsol41.com,7,2
42,SaludPlus S.A. 42,83,916402149,saludplus42.pe,10,2
43,EducaGlobal 43,190,903957405,educaglobal43.edu,8,9
44,FinanCorp 44,125,962372282,financorp44.com,4,2
45,ManuFacto 45,298,961115553,manufacto45.org,2,8
46,RetailMart 46,268,949667763,retailmart46.pe,4,2
47,EnergiaVerde 47,168,946656282,enverde47.com,6,3
48,TransLogistics 48,200,973185692,translog48.pe,3,2
49,Constructiva 49,73,998342245,constructiva49.com,10,8
50,AgroInnovacion 50,122,999107340,agroinnov50.pe,9,2
51,TechSol Ltd. 51,166,980309919,techsol51.com,7,2
52,SaludPlus S.A. 52,88,963749437,saludplus52.pe,9,1
53,EducaGlobal 53,219,959460256,educaglobal53.edu,10,5
54,FinanCorp 54,112,977951663,financorp54.com,6,6
55,ManuFacto 55,312,952235263,manufacto55.org,4,9
