id_respuesta_,tipo_respuesta,comentarios,fecha_respuesta
1001,R,Declinamos la oferta por considerar excesivos los costos de implementación,2024-01-01
1002,R,Rechazamos la propuesta por incompatibilidad con nuestros sistemas actuales,2024-04-05
1003,A,Validamos la propuesta y solicitamos la firma del contrato,2024-05-19
1004,A,Confirmamos el acuerdo de niveles de servicio (SLA),2024-07-09
1005,A,Aceptamos la escalabilidad propuesta para el sistema,2024-01-16
1006,R,Declinamos la oferta por considerar excesivos los costos de implementación,2024-02-01
1007,A,Aceptamos la modalidad de pago propuesta sin modificaciones,2024-11-05
1008,R,Declinamos la oferta por considerar excesivos los costos de implementación,2025-02-19
1009,R,No procedemos por falta de alineación con nuestra roadmap tecnológico,2024-11-26
1010,A,Aceptamos la implementación piloto bajo los términos acordados,2024-07-23
1011,A,Aprobamos la arquitectura tecnológica sugerida,2024-04-09
1012,A,Aceptamos los términos del servicio de mantenimiento,2024-11-17
1013,A,Aceptamos la modalidad de pago propuesta sin modificaciones,2024-03-18
1014,R,No procedemos por falta de alineación con nuestra roadmap tecnológico,2024-04-29
1015,A,Aprobamos la arquitectura tecnológica sugerida,2025-01-24
1016,R,Rechazamos el modelo de negocio propuesto,2024-10-04
1017,A,Confirmamos el acuerdo de niveles de servicio (SLA),2024-12-19
1018,A,Aceptamos la implementación piloto bajo los términos acordados,2024-02-27
1019,R,No aceptamos por incompatibilidad con nuestra infraestructura actual,2024-07-26
1020,R,No estamos de acuerdo con los términos comerciales presentados,2025-01-17
1021,A,Validamos los criterios de aceptación de pruebas,2025-02-17
1022,A,Aprobamos el presupuesto completo sin objeciones,2024-01-30
1023,A,Validamos la propuesta y solicitamos la firma del contrato,2024-12-06
1024,R,Declinamos la oferta por considerar excesivos los costos de implementación,2024-12-28
1025,R,Descartamos la propuesta ante cambios en regulaciones del sector,2024-05-11
1026,R,Desestimamos la oferta por incumplir normativas internas,2024-05-02
1027,R,Cancelamos el proyecto por reestructuración organizacional,2025-02-16
1028,A,Aceptamos los plazos y entregables establecidos en la propuesta,2025-02-02
1029,R,No continuamos con el proyecto debido a cambios en nuestra estructura interna,2024-03-06
1030,A,Aprobamos el alcance del proyecto tal como está definido,2024-06-10
1031,R,Rechazamos el modelo de negocio propuesto,2024-08-14
1032,A,Aceptamos la modalidad de pago propuesta sin modificaciones,2024-06-01
1033,A,Confirmamos el acuerdo de niveles de servicio (SLA),2024-02-16
1034,R,Rechazamos los tiempos de implementación como inviables,2025-03-01
1035,R,No aceptamos por incompatibilidad con nuestra infraestructura actual,2024-08-09
1036,R,Rechazamos la solución por falta de soporte técnico local,2025-04-25
1037,R,Rechazamos la inclusión del módulo adicional sugerido,2024-11-11
1038,R,Cancelamos el proyecto por reestructuración organizacional,2024-09-11
1039,R,Rechazamos la propuesta por incompatibilidad con nuestros sistemas actuales,2024-09-13
1040,A,Aprobamos el presupuesto completo sin objeciones,2024-08-29
1041,R,No continuamos con el proyecto debido a cambios en nuestra estructura interna,2024-10-15
1042,A,Aprobamos el presupuesto completo sin objeciones,2024-03-26
1043,A,Validamos los criterios de aceptación de pruebas,2024-10-17
1044,R,Declinamos por preferir una solución en la nube alternativa,2025-01-31
1045,R,No aceptamos las licencias propuestas por costos ocultos,2024-08-06
1046,A,Autorizamos el inicio del proyecto según lo planificado,2024-06-25
1047,R,No procedemos con el proyecto por cambios en nuestras prioridades estratégicas,2024-03-10
1048,R,Rechazamos la solución por falta de soporte técnico local,2025-01-20
1049,R,Rechazamos la ampliación de servicios por falta de presupuesto,2024-05-12
1050,R,Rechazamos el modelo de negocio propuesto,2024-04-19
1051,R,No aprobamos el contrato debido a cláusulas contractuales no negociables,2025-02-23
1052,R,No continuamos con el proyecto debido a cambios en nuestra estructura interna,2024-10-12
1053,R,No estamos de acuerdo con los términos comerciales presentados,2024-08-11
1054,R,Rechazamos el modelo de negocio propuesto,2024-09-29
1055,R,Rechazamos los tiempos de implementación como inviables,2024-05-09
1056,R,No continuamos con el proyecto debido a cambios en nuestra estructura interna,2024-05-14
1057,A,Aceptamos los plazos y entregables establecidos en la propuesta,2024-10-07
1058,R,Desestimamos la oferta por incumplir normativas internas,2025-02-01
1059,A,Estamos de acuerdo con el plan de implementación y damos luz verde para iniciar,2025-04-20
1060,R,Rechazamos los tiempos de implementación como inviables,2024-10-11
1061,A,Confirmamos nuestra aceptación a las condiciones técnicas propuestas,2025-01-20
1062,R,Declinamos por preferir una solución en la nube alternativa,2024-02-25
1063,R,Declinamos la oferta por considerar excesivos los costos de implementación,2025-02-17
1064,R,Rechazamos el modelo de negocio propuesto,2024-01-26
1065,R,No procedemos por falta de alineación con nuestra roadmap tecnológico,2024-07-25
1066,A,Aprobamos el presupuesto completo sin objeciones,2024-05-27
1067,A,Damos el visto bueno al cronograma presentado y confirmamos el pago inicial,2025-01-29
1068,A,Aceptamos los términos del servicio de mantenimiento,2024-06-02
1069,R,No aceptamos las licencias propuestas por costos ocultos,2024-11-03
1070,A,Validamos los requisitos funcionales presentados,2024-03-20
1071,A,Confirmamos nuestra aceptación a las condiciones técnicas propuestas,2024-11-03
1072,A,Autorizamos el inicio del proyecto según lo planificado,2024-08-23
1073,A,Validamos los criterios de aceptación de pruebas,2024-09-02
1074,A,Confirmamos el acuerdo de niveles de servicio (SLA),2024-05-06
1075,A,Aceptamos la implementación piloto bajo los términos acordados,2024-02-14
1076,A,Aceptamos los plazos y entregables establecidos en la propuesta,2025-03-29
1077,R,Rechazamos los tiempos de implementación como inviables,2024-07-11
1078,A,Damos conformidad al plan de capacitación propuesto,2025-03-25
1079,A,Autorizamos el inicio del proyecto según lo planificado,2024-08-05
1080,R,No procedemos por falta de alineación con nuestra roadmap tecnológico,2024-08-23
1081,R,Rechazamos la ampliación de servicios por falta de presupuesto,2024-08-25
1082,R,Rechazamos el modelo de negocio propuesto,2024-12-01
1083,A,Aprobamos el presupuesto completo sin objeciones,2024-11-17
1084,R,No estamos de acuerdo con los términos comerciales presentados,2025-04-28
1085,A,Damos el visto bueno al cronograma presentado y confirmamos el pago inicial,2025-04-10
1086,R,Rechazamos la propuesta por no cumplir con nuestros requisitos de seguridad,2024-10-25
1087,R,No procedemos con el proyecto por cambios en nuestras prioridades estratégicas,2024-01-12
